iter	RMSE
0	243.6514923
1	240.1047801
2	236.5939414
3	233.2911231
4	229.9831601
5	227.0037555
6	223.9686787
7	221.0006202
8	218.2582794
9	215.5962299
10	212.9229724
11	210.4425953
12	207.8532456
13	205.3978864
14	202.9301304
15	200.2106403
16	197.7200164
17	195.2091622
18	192.9100619
19	190.7065663
20	188.5990416
21	186.727889
22	184.5801182
23	182.6118443
24	180.8116341
25	179.1691128
26	177.3808545
27	175.5600992
28	173.8664337
29	172.3479627
30	170.9342886
31	169.3814889
32	167.8680511
33	166.4961175
34	165.0444265
35	163.6721063
36	162.3358826
37	161.1215421
38	159.8959243
39	158.6469985
40	157.4852789
41	156.4171568
42	155.3762988
43	154.2457693
44	153.1756695
45	152.1921919
46	151.180231
47	150.2802924
48	149.3596255
49	148.4436897
50	147.5954188
51	146.7041948
52	145.7489107
53	145.0071857
54	144.2348668
55	143.5679745
56	142.8791786
57	142.1130026
58	141.4551103
59	140.7827498
60	139.9537886
61	139.3652487
62	138.6531491
63	138.1086036
64	137.5435388
65	136.9587293
66	136.4094993
67	135.8407772
68	135.2723275
69	134.8054432
70	134.3285933
71	133.8528086
72	133.4534929
73	132.9834405
74	132.5420634
75	132.0675828
76	131.7188473
77	131.2531138
78	130.7351833
79	130.3631386
80	130.0068698
81	129.5215611
82	129.0839949
83	128.7502176
84	128.4499717
85	128.0596093
86	127.7251223
87	127.3458359
88	127.0206962
89	126.6926654
90	126.2979792
91	126.0219152
92	125.7136058
93	125.3087634
94	124.9291657
95	124.6091572
96	124.3242524
97	123.9858143
98	123.7403297
99	123.5110222
100	123.2455608
101	122.9843374
102	122.6868272
103	122.4467709
104	122.1551231
105	121.9507569
106	121.741552
107	121.5318197
108	121.3599149
109	121.1909428
110	120.9732296
111	120.7082979
112	120.425651
113	120.2328887
114	120.0631361
115	119.8907223
116	119.7399076
117	119.477166
118	119.2427547
119	118.9929859
120	118.7206386
121	118.5333814
122	118.2625647
123	118.0548249
124	117.8200857
125	117.6451746
126	117.4652626
127	117.2846227
128	117.1481718
129	116.9832065
130	116.7744185
131	116.6348547
132	116.4516709
133	116.2978786
134	116.1273127
135	115.9849063
136	115.8038406
137	115.667572
138	115.4984167
139	115.3405527
140	115.1925721
141	115.0480398
142	114.9196029
143	114.6999837
144	114.4976333
145	114.3083499
146	114.1667382
147	114.0255931
148	113.8717012
149	113.7279733
150	113.6171478
151	113.5013586
152	113.3708033
153	113.2273318
154	113.1055813
155	113.0263545
156	112.8785338
157	112.7485535
158	112.6366136
159	112.5471617
160	112.4764665
161	112.3869767
162	112.3193946
163	112.1564458
164	112.0341971
165	111.886662
166	111.7839563
167	111.7244305
168	111.6531251
169	111.5589811
170	111.4275029
171	111.3267924
172	111.2198096
173	111.109387
174	111.0186732
175	110.9458397
176	110.8552852
177	110.7383231
178	110.6957712
179	110.5958486
180	110.4803346
181	110.3653781
182	110.316752
183	110.2022936
184	110.124271
185	110.0478201
186	109.9155809
187	109.8232628
188	109.7410103
189	109.6588196
190	109.5877504
191	109.5069247
192	109.4181921
193	109.3170151
194	109.2423253
195	109.2105395
196	109.1312561
197	109.0934418
198	109.0188438
199	108.9543569
200	108.8779964
201	108.8163874
202	108.7372438
203	108.6468288
204	108.5497138
205	108.5055336
206	108.4611695
207	108.3965195
208	108.3140506
209	108.2581215
210	108.205355
211	108.1376319
212	108.1144976
213	108.0549733
214	108.0247896
215	107.9486892
216	107.8710862
217	107.8219536
218	107.7802885
219	107.6968751
220	107.6383547
221	107.6053502
222	107.5213928
223	107.4472808
224	107.3867639
225	107.3282979
226	107.2702241
227	107.2449823
228	107.2045344
229	107.1529065
230	107.0763398
231	107.0059617
232	106.9767306
233	106.921605
234	106.9202168
235	106.867613
236	106.835748
237	106.7578487
238	106.7312624
239	106.6841271
240	106.6450315
241	106.5925849
242	106.5382024
243	106.5076175
244	106.4519606
245	106.4081959
246	106.3653082
247	106.33319
248	106.2891464
249	106.2578732
250	106.1784132
251	106.1239466
252	106.0908859
253	106.0359256
254	106.0098883
255	105.9656633
256	105.9360114
257	105.9342022
258	105.8885353
259	105.8181247
260	105.7830544
261	105.7213628
262	105.6757637
263	105.6056524
264	105.5512979
265	105.4906388
266	105.4414885
267	105.4151817
268	105.3869685
269	105.3487327
270	105.3185461
271	105.2655664
272	105.2174346
273	105.1918604
274	105.1376506
275	105.080308
276	105.0339899
277	104.9810413
278	104.9343665
279	104.8865898
280	104.8303109
281	104.7827611
282	104.7809165
283	104.755596
284	104.7213891
285	104.6965243
286	104.6571038
287	104.5723835
288	104.520119
289	104.4892026
290	104.4476886
291	104.4192969
292	104.3839262
293	104.3672986
294	104.3504128
295	104.3049883
296	104.269833
297	104.230098
298	104.1849107
299	104.1359414
