iter	Passed	Remaining
0	212	63497
1	249	37166
2	274	27205
3	295	21899
4	366	21629
5	395	19392
6	449	18831
7	478	17448
8	510	16506
9	536	15553
10	563	14810
11	588	14128
12	615	13598
13	665	13598
14	698	13268
15	729	12956
16	757	12605
17	783	12270
18	810	11986
19	840	11763
20	868	11536
21	895	11317
22	921	11096
23	950	10930
24	978	10764
25	1005	10600
26	1032	10435
27	1058	10284
28	1084	10133
29	1113	10022
30	1143	9920
31	1170	9806
32	1197	9686
33	1225	9586
34	1251	9477
35	1276	9362
36	1303	9266
37	1329	9168
38	1354	9067
39	1379	8967
40	1406	8881
41	1431	8795
42	1458	8715
43	1484	8635
44	1510	8561
45	1537	8490
46	1562	8412
47	1589	8342
48	1616	8280
49	1641	8209
50	1667	8143
51	1694	8079
52	1719	8014
53	1744	7946
54	1770	7885
55	1795	7823
56	1821	7766
57	1846	7704
58	1874	7656
59	1900	7601
60	1931	7569
61	1957	7514
62	1981	7455
63	2006	7398
64	2033	7351
65	2059	7302
66	2085	7253
67	2113	7211
68	2141	7168
69	2169	7127
70	2197	7088
71	2225	7046
72	2251	7000
73	2341	7149
74	2374	7123
75	2401	7077
76	2427	7030
77	2453	6984
78	2480	6940
79	2507	6896
80	2533	6849
81	2561	6809
82	2587	6765
83	2614	6723
84	2640	6678
85	2667	6637
86	2694	6596
87	2721	6555
88	2747	6514
89	2774	6473
90	2801	6433
91	2827	6391
92	2852	6349
93	2881	6313
94	2908	6276
95	2936	6239
96	2961	6197
97	2988	6159
98	3013	6118
99	3041	6082
100	3066	6042
101	3095	6009
102	3124	5975
103	3150	5937
104	3178	5902
105	3205	5866
106	3233	5832
107	3259	5794
108	3293	5770
109	3321	5737
110	3347	5699
111	3375	5665
112	3405	5634
113	3430	5597
114	3456	5560
115	3483	5526
116	3510	5491
117	3538	5458
118	3566	5425
119	3597	5395
120	3624	5362
121	3651	5326
122	3679	5294
123	3705	5259
124	3734	5227
125	3765	5200
126	3792	5166
127	3820	5133
128	3881	5144
129	3921	5128
130	3957	5105
131	3985	5073
132	4013	5039
133	4066	5037
134	4094	5004
135	4123	4972
136	4152	4940
137	4181	4908
138	4211	4877
139	4241	4847
140	4271	4817
141	4302	4786
142	4330	4754
143	4359	4723
144	4389	4692
145	4487	4733
146	4522	4707
147	4551	4674
148	4584	4646
149	4612	4612
150	4639	4578
151	4665	4543
152	4692	4508
153	4721	4476
154	4747	4441
155	4773	4406
156	4800	4372
157	4827	4338
158	4853	4303
159	4880	4270
160	4906	4236
161	4934	4203
162	4961	4170
163	4988	4136
164	5016	4104
165	5042	4070
166	5069	4037
167	5097	4005
168	5124	3972
169	5151	3939
170	5178	3906
171	5205	3873
172	5232	3841
173	5259	3808
174	5286	3776
175	5314	3744
176	5341	3711
177	5367	3678
178	5393	3645
179	5420	3613
180	5445	3580
181	5472	3548
182	5498	3515
183	5523	3482
184	5548	3448
185	5572	3415
186	5598	3382
187	5624	3350
188	5650	3318
189	5678	3287
190	5704	3255
191	5731	3223
192	5756	3191
193	5782	3159
194	5807	3127
195	5832	3094
196	5860	3063
197	5887	3032
198	5912	3001
199	5938	2969
200	5965	2938
201	5989	2906
202	6015	2874
203	6040	2842
204	6066	2811
205	6092	2779
206	6118	2749
207	6145	2718
208	6172	2687
209	6198	2656
210	6225	2625
211	6249	2594
212	6275	2563
213	6300	2532
214	6328	2501
215	6355	2471
216	6381	2441
217	6409	2410
218	6435	2380
219	6463	2350
220	6491	2320
221	6518	2290
222	6618	2285
223	6655	2258
224	6681	2227
225	6709	2196
226	6736	2166
227	6766	2136
228	6792	2105
229	6820	2075
230	6846	2045
231	6874	2014
232	6906	1986
233	6933	1955
234	6960	1925
235	6983	1893
236	7010	1863
237	7038	1833
238	7065	1803
239	7092	1773
240	7119	1742
241	7145	1712
242	7171	1682
243	7199	1652
244	7225	1622
245	7252	1592
246	7278	1561
247	7306	1531
248	7331	1501
249	7358	1471
250	7385	1441
251	7416	1412
252	7443	1382
253	7470	1352
254	7498	1323
255	7523	1293
256	7550	1263
257	7570	1232
258	7601	1203
259	7627	1173
260	7654	1143
261	7678	1113
262	7704	1083
263	7728	1053
264	7753	1024
265	7777	994
266	7804	964
267	7829	934
268	7857	905
269	7882	875
270	7908	846
271	7934	816
272	7961	787
273	7986	757
274	8012	728
275	8038	699
276	8065	669
277	8092	640
278	8117	610
279	8143	581
280	8169	552
281	8195	523
282	8219	493
283	8245	464
284	8272	435
285	8304	406
286	8330	377
287	8355	348
288	8381	319
289	8407	289
290	8435	260
291	8463	231
292	8490	202
293	8517	173
294	8544	144
295	8571	115
296	8599	86
297	8630	57
298	8705	29
299	8740	0
